hidden_layers=1, neurons_per_layer=64, activation=relu, accuracy=0.09999675303697586
hidden_layers=1, neurons_per_layer=64, activation=sigmoid, accuracy=0.8140028715133667
hidden_layers=1, neurons_per_layer=64, activation=tanh, accuracy=0.7441739439964294
hidden_layers=1, neurons_per_layer=128, activation=relu, accuracy=0.2112026810646057
hidden_layers=1, neurons_per_layer=128, activation=sigmoid, accuracy=0.8243077397346497
hidden_layers=1, neurons_per_layer=128, activation=tanh, accuracy=0.7814976572990417
hidden_layers=1, neurons_per_layer=256, activation=relu, accuracy=0.18673913180828094
hidden_layers=1, neurons_per_layer=256, activation=sigmoid, accuracy=0.8294554948806763
hidden_layers=1, neurons_per_layer=256, activation=tanh, accuracy=0.7913480401039124
hidden_layers=1, neurons_per_layer=512, activation=relu, accuracy=0.2129325121641159
hidden_layers=1, neurons_per_layer=512, activation=sigmoid, accuracy=0.8358786106109619
hidden_layers=1, neurons_per_layer=512, activation=tanh, accuracy=0.7965236306190491
hidden_layers=2, neurons_per_layer=64, activation=relu, accuracy=0.10000139474868774
hidden_layers=2, neurons_per_layer=64, activation=sigmoid, accuracy=0.814944326877594
hidden_layers=2, neurons_per_layer=64, activation=tanh, accuracy=0.6841675639152527
hidden_layers=2, neurons_per_layer=128, activation=relu, accuracy=0.09999675303697586
hidden_layers=2, neurons_per_layer=128, activation=sigmoid, accuracy=0.829399824142456
hidden_layers=2, neurons_per_layer=128, activation=tanh, accuracy=0.7377276420593262
hidden_layers=2, neurons_per_layer=256, activation=relu, accuracy=0.09999675303697586
hidden_layers=2, neurons_per_layer=256, activation=sigmoid, accuracy=0.8361661434173584
hidden_layers=2, neurons_per_layer=256, activation=tanh, accuracy=0.7660868167877197
hidden_layers=2, neurons_per_layer=512, activation=relu, accuracy=0.09999675303697586
	hidden_layers=2, neurons_per_layer=512, activation=sigmoid, accuracy=0.841128408908844
hidden_layers=2, neurons_per_layer=512, activation=tanh, accuracy=0.783774733543396
hidden_layers=3, neurons_per_layer=64, activation=relu, accuracy=0.09999675303697586
hidden_layers=3, neurons_per_layer=64, activation=sigmoid, accuracy=0.784572422504425
hidden_layers=3, neurons_per_layer=64, activation=tanh, accuracy=0.7552857398986816
hidden_layers=3, neurons_per_layer=128, activation=relu, accuracy=0.09999675303697586
hidden_layers=3, neurons_per_layer=128, activation=sigmoid, accuracy=0.8174393773078918
hidden_layers=3, neurons_per_layer=128, activation=tanh, accuracy=0.7291712164878845
hidden_layers=3, neurons_per_layer=256, activation=relu, accuracy=0.09999675303697586
hidden_layers=3, neurons_per_layer=256, activation=sigmoid, accuracy=0.8279111385345459
hidden_layers=3, neurons_per_layer=256, activation=tanh, accuracy=0.7688369154930115
hidden_layers=3, neurons_per_layer=512, activation=relu, accuracy=0.09999675303697586
hidden_layers=3, neurons_per_layer=512, activation=sigmoid, accuracy=0.8353545665740967
hidden_layers=3, neurons_per_layer=512, activation=tanh, accuracy=0.73993980884552
hidden_layers=4, neurons_per_layer=64, activation=relu, accuracy=0.09999675303697586
hidden_layers=4, neurons_per_layer=64, activation=sigmoid, accuracy=0.6576077938079834
hidden_layers=4, neurons_per_layer=64, activation=tanh, accuracy=0.7250344157218933
hidden_layers=4, neurons_per_layer=128, activation=relu, accuracy=0.09999675303697586
hidden_layers=4, neurons_per_layer=128, activation=sigmoid, accuracy=0.6968051195144653
hidden_layers=4, neurons_per_layer=128, activation=tanh, accuracy=0.7737064361572266
hidden_layers=4, neurons_per_layer=256, activation=relu, accuracy=0.09999675303697586
hidden_layers=4, neurons_per_layer=256, activation=sigmoid, accuracy=0.7834547758102417
hidden_layers=4, neurons_per_layer=256, activation=tanh, accuracy=0.7813121676445007
hidden_layers=4, neurons_per_layer=512, activation=relu, accuracy=0.09999675303697586
hidden_layers=4, neurons_per_layer=512, activation=sigmoid, accuracy=0.8094116449356079
hidden_layers=4, neurons_per_layer=512, activation=tanh, accuracy=0.7567744255065918
hidden_layers=5, neurons_per_layer=64, activation=relu, accuracy=0.09999675303697586
hidden_layers=5, neurons_per_layer=64, activation=sigmoid, accuracy=0.1000802293419838
hidden_layers=5, neurons_per_layer=64, activation=tanh, accuracy=0.7196872234344482
hidden_layers=5, neurons_per_layer=128, activation=relu, accuracy=0.09999675303697586
hidden_layers=5, neurons_per_layer=128, activation=sigmoid, accuracy=0.1699555218219757
hidden_layers=5, neurons_per_layer=128, activation=tanh, accuracy=0.7112977504730225
hidden_layers=5, neurons_per_layer=256, activation=relu, accuracy=0.09999675303697586
hidden_layers=5, neurons_per_layer=256, activation=sigmoid, accuracy=0.10000139474868774
hidden_layers=5, neurons_per_layer=256, activation=tanh, accuracy=0.7602711915969849
hidden_layers=5, neurons_per_layer=512, activation=relu, accuracy=0.09999675303697586
hidden_layers=5, neurons_per_layer=512, activation=sigmoid, accuracy=0.31933850049972534
hidden_layers=5, neurons_per_layer=512, activation=tanh, accuracy=0.78020840883255

[0.09999675303697586, 0.8140028715133667, 0.7441739439964294, 0.2112026810646057, 0.8243077397346497, 0.7814976572990417, 0.18673913180828094, 0.8294554948806763, 0.7913480401039124, 0.2129325121641159, 0.8358786106109619, 0.7965236306190491, 0.10000139474868774, 0.814944326877594, 0.6841675639152527, 0.09999675303697586, 0.829399824142456, 0.7377276420593262, 0.09999675303697586, 0.8361661434173584, 0.7660868167877197, 0.09999675303697586, 0.841128408908844, 0.783774733543396, 0.09999675303697586, 0.784572422504425, 0.7552857398986816, 0.09999675303697586, 0.8174393773078918, 0.7291712164878845, 0.09999675303697586, 0.8279111385345459, 0.7688369154930115, 0.09999675303697586, 0.8353545665740967, 0.73993980884552, 0.09999675303697586, 0.6576077938079834, 0.7250344157218933, 0.09999675303697586, 0.6968051195144653, 0.7737064361572266, 0.09999675303697586, 0.7834547758102417, 0.7813121676445007, 0.09999675303697586, 0.8094116449356079, 0.7567744255065918, 0.09999675303697586, 0.1000802293419838, 0.7196872234344482, 0.09999675303697586, 0.1699555218219757, 0.7112977504730225, 0.09999675303697586, 0.10000139474868774, 0.7602711915969849, 0.09999675303697586, 0.31933850049972534, 0.78020840883255]

Наилучший результат для:
hidden_layers=2, neurons_per_layer=512, activation=sigmoid, accuracy=0.841128408908844
