hidden_layers=1, neurons_per_layer=64, activation=relu, accuracy=0.1000153049826622
hidden_layers=1, neurons_per_layer=64, activation=sigmoid, accuracy=0.8056644201278687
hidden_layers=1, neurons_per_layer=64, activation=tanh, accuracy=0.7392116785049438
hidden_layers=1, neurons_per_layer=128, activation=relu, accuracy=0.10008950531482697
hidden_layers=1, neurons_per_layer=128, activation=sigmoid, accuracy=0.8157744407653809
hidden_layers=1, neurons_per_layer=128, activation=tanh, accuracy=0.7529159188270569
hidden_layers=1, neurons_per_layer=256, activation=relu, accuracy=0.10004313290119171
hidden_layers=1, neurons_per_layer=256, activation=sigmoid, accuracy=0.8271552324295044
hidden_layers=1, neurons_per_layer=256, activation=tanh, accuracy=0.788236141204834
hidden_layers=1, neurons_per_layer=512, activation=relu, accuracy=0.10207905620336533
hidden_layers=1, neurons_per_layer=512, activation=sigmoid, accuracy=0.833490252494812
hidden_layers=1, neurons_per_layer=512, activation=tanh, accuracy=0.796815812587738
hidden_layers=2, neurons_per_layer=64, activation=relu, accuracy=0.09999675303697586
hidden_layers=2, neurons_per_layer=64, activation=sigmoid, accuracy=0.7981699705123901
hidden_layers=2, neurons_per_layer=64, activation=tanh, accuracy=0.6907854676246643
hidden_layers=2, neurons_per_layer=128, activation=relu, accuracy=0.10000602900981903
hidden_layers=2, neurons_per_layer=128, activation=sigmoid, accuracy=0.8147959113121033
hidden_layers=2, neurons_per_layer=128, activation=tanh, accuracy=0.7534446120262146
hidden_layers=2, neurons_per_layer=256, activation=relu, accuracy=0.09999675303697586
hidden_layers=2, neurons_per_layer=256, activation=sigmoid, accuracy=0.8259308934211731
hidden_layers=2, neurons_per_layer=256, activation=tanh, accuracy=0.7862883806228638
hidden_layers=2, neurons_per_layer=512, activation=relu, accuracy=0.09999675303697586
hidden_layers=2, neurons_per_layer=512, activation=sigmoid, accuracy=0.8332629799842834
hidden_layers=2, neurons_per_layer=512, activation=tanh, accuracy=0.8035774827003479
hidden_layers=3, neurons_per_layer=64, activation=relu, accuracy=0.09999675303697586
hidden_layers=3, neurons_per_layer=64, activation=sigmoid, accuracy=0.5279672741889954
hidden_layers=3, neurons_per_layer=64, activation=tanh, accuracy=0.6176220774650574
hidden_layers=3, neurons_per_layer=128, activation=relu, accuracy=0.10000139474868774
hidden_layers=3, neurons_per_layer=128, activation=sigmoid, accuracy=0.7089371681213379
hidden_layers=3, neurons_per_layer=128, activation=tanh, accuracy=0.7029175162315369
hidden_layers=3, neurons_per_layer=256, activation=relu, accuracy=0.09999675303697586
hidden_layers=3, neurons_per_layer=256, activation=sigmoid, accuracy=0.7925213575363159
hidden_layers=3, neurons_per_layer=256, activation=tanh, accuracy=0.7821237444877625
hidden_layers=3, neurons_per_layer=512, activation=relu, accuracy=0.09999675303697586
hidden_layers=3, neurons_per_layer=512, activation=sigmoid, accuracy=0.8144898414611816
hidden_layers=3, neurons_per_layer=512, activation=tanh, accuracy=0.8003032803535461
hidden_layers=4, neurons_per_layer=64, activation=relu, accuracy=0.09999675303697586
hidden_layers=4, neurons_per_layer=64, activation=sigmoid, accuracy=0.10000139474868774
hidden_layers=4, neurons_per_layer=64, activation=tanh, accuracy=0.46113428473472595
hidden_layers=4, neurons_per_layer=128, activation=relu, accuracy=0.09999675303697586
hidden_layers=4, neurons_per_layer=128, activation=sigmoid, accuracy=0.16215038299560547
hidden_layers=4, neurons_per_layer=128, activation=tanh, accuracy=0.618169367313385
hidden_layers=4, neurons_per_layer=256, activation=relu, accuracy=0.09999675303697586
hidden_layers=4, neurons_per_layer=256, activation=sigmoid, accuracy=0.24338789284229279
hidden_layers=4, neurons_per_layer=256, activation=tanh, accuracy=0.7430145740509033
hidden_layers=4, neurons_per_layer=512, activation=relu, accuracy=0.09999675303697586
hidden_layers=4, neurons_per_layer=512, activation=sigmoid, accuracy=0.35829928517341614
hidden_layers=4, neurons_per_layer=512, activation=tanh, accuracy=0.7943578362464905
hidden_layers=5, neurons_per_layer=64, activation=relu, accuracy=0.09999675303697586
hidden_layers=5, neurons_per_layer=64, activation=sigmoid, accuracy=0.10000139474868774
hidden_layers=5, neurons_per_layer=64, activation=tanh, accuracy=0.3789692521095276
hidden_layers=5, neurons_per_layer=128, activation=relu, accuracy=0.09999675303697586
hidden_layers=5, neurons_per_layer=128, activation=sigmoid, accuracy=0.09999675303697586
hidden_layers=5, neurons_per_layer=128, activation=tanh, accuracy=0.6308671832084656
hidden_layers=5, neurons_per_layer=256, activation=relu, accuracy=0.09999675303697586
hidden_layers=5, neurons_per_layer=256, activation=sigmoid, accuracy=0.10000139474868774
hidden_layers=5, neurons_per_layer=256, activation=tanh, accuracy=0.698864221572876
hidden_layers=5, neurons_per_layer=512, activation=relu, accuracy=0.09999675303697586
hidden_layers=5, neurons_per_layer=512, activation=sigmoid, accuracy=0.10000139474868774
hidden_layers=5, neurons_per_layer=512, activation=tanh, accuracy=0.759450376033783


[0.1000153049826622, 0.8056644201278687, 0.7392116785049438, 0.10008950531482697, 0.8157744407653809, 0.7529159188270569, 0.10004313290119171, 0.8271552324295044, 0.788236141204834, 0.10207905620336533, 0.833490252494812, 0.796815812587738, 0.09999675303697586, 0.7981699705123901, 0.6907854676246643, 0.10000602900981903, 0.8147959113121033, 0.7534446120262146, 0.09999675303697586, 0.8259308934211731, 0.7862883806228638, 0.09999675303697586, 0.8332629799842834, 0.8035774827003479, 0.09999675303697586, 0.5279672741889954, 0.6176220774650574, 0.10000139474868774, 0.7089371681213379, 0.7029175162315369, 0.09999675303697586, 0.7925213575363159, 0.7821237444877625, 0.09999675303697586, 0.8144898414611816, 0.8003032803535461, 0.09999675303697586, 0.10000139474868774, 0.46113428473472595, 0.09999675303697586, 0.16215038299560547, 0.618169367313385, 0.09999675303697586, 0.24338789284229279, 0.7430145740509033, 0.09999675303697586, 0.35829928517341614, 0.7943578362464905, 0.09999675303697586, 0.10000139474868774, 0.3789692521095276, 0.09999675303697586, 0.09999675303697586, 0.6308671832084656, 0.09999675303697586, 0.10000139474868774, 0.698864221572876, 0.09999675303697586, 0.10000139474868774, 0.759450376033783]

Наилучший показатель для:
hidden_layers=2, neurons_per_layer=512, activation=sigmoid, accuracy=0.8332629799842834
